disadvantage_id,disadvantage_box_name,disadvantage_name,disadvantage_cost,disadvantage_type,disadvantage_description,disadvantage_source_book,disadvantage_source_page
DIS-040,PERNETA | -25,PERNETA,-25,Física,"
- O personagem perdeu uma das pernas.
- Ele estará submetido a um redutor de -6 em todos os testes de habilidade que exigem o uso das pernas.
- O personagem é incapaz de correr e terá um Deslocamento igual a no máximo 2, usando muletas ou perna de pau.
- Se o personagem tiver acesso à cirurgia protética do NT 6 (século XX), ele poderá reduzir o efeito da perna aleijada, mas precisará recomprar a diferença em pontos de alguma forma.
- Civilizações de NT 8+ poderiam substituir a perna, possivelmente por uma melhor que a original, mas depois disto não haverá mais desvantagem.",Módulo Básico,29
DIS-041,SEM PERNAS | -35,SEM PERNAS,-35,Física,"
- O personagem está confinado a uma cadeira de rodas ou a uma plataforma com rodas.
- Sua velocidade será 1/4 de seu atributo ST (arredondado para baixo) se ele a impulsionar com as próprias mãos.
- Ele poderá ser carregado na garupa ou transportado em uma maca.
- O Mestre deverá impor todas as penalidades razoáveis devidas a esta deficiência.
- Exemplos: Ele não será capaz de passar por portas estreitas, subir escadas ou calçadas com degraus, viajar (a não ser em veículos equipados especialmente), lutar efetivamente (a não ser usando revólveres e bestas), etc. Ele estará submetido a um redutor de -6 se precisar lutar com uma espada.",Módulo Básico,29
DIS-042,ZAROLHO | -15,ZAROLHO,-15,Física,"
- O personagem tem apenas um olho bom.
- Ele pode usar um olho de vidro ou cobrir a vista defeituosa com um tapa-olho.
- Seu atributo DX estará submetido a um redutor de -1 em situações de combate e/ou que envolvam a coordenação entre mãos e olhos, e -3 em situações que envolvam armas de projétil, arremesso de objetos ou a condução de qualquer veículo mais rápido que um cavalo ou uma charrete.
- Estará também submetido a um redutor de -1 em testes de reação, com exceção daqueles feitos por seres totalmente alienígenas. Exceção: Se você tiver Carisma, ou for Elegante ou Muito Elegante, o tapa-olho parecerá romântico e, neste caso, não afetará os testes de Reação.",Módulo Básico,29
DIS-043,ALCOOLISMO | -15,ALCOOLISMO,-15,Mental,"
- O personagem é um viciado em álcool.
- Um alcoólatra pode, em circunstâncias normais, limitar o uso do álcool ao período noturno e, desta maneira, ser capaz de (pelo menos doponto de vista do jogo) agir normalmente.
- No entanto, toda vez que um alcoólatra se vir frente a frente com o álcool, ele deverá obter um sucesso em um teste de Vontade, para evitar participar.
- Uma falha significa que ele tomará um porre que durará 2d6 horas, seguido de uma ressaca durando o dobro, durante as quais todos os seus atributos e perícias estarão submetidos a um redutor de -3.
- Alcoólatras numa bebedeira caracterizam-se pela oscilação súbita de seu humor (da cordialidade àhostilidade extremas) e podem vir a atacar seus amigos, falar demais ou cometer outros erros do gênero.
- O outro inconveniente do alcoolismo é que é difícil se libertar dele.
- Quando um personagem alcoólatra se “regenerar”, ele não precisará mais ingerir álcool diariamente, mas terá que fazer um teste de Vontade, com um bônus de +4, sempre que estiver em presença de álcool.
- Uma falha não significa que ele voltará ao vício, mas indica uma bebedeira. (Três porres em uma semana trarão o vício de volta).
- Isto significa que não há nenhuma maneira normal de “recomprar” esta desvantagem.
- Um alcoólatra deve fazer todo ano um teste contra HT+2, até abandonar o vício.
- Uma falha significa que ele deve perder um ponto de um de seus quatro atributos básicos,  aleatoriamente.",Módulo Básico,30
DIS-044,DISTRAÇÃO | -15,DISTRAÇÃO,-15,Mental,"
- A desvantagem clássica dos gênios excêntricos.
- O personagem tem dificuldade em prestar atenção a qualquer coisa que não seja de interesse imediato.
- Um personagem distraído estará submetido a um redutor de -5 em qualquer teste de IQ, com exceção daqueles ligados ao trabalho no qual ele está concentrado no momento.
- Se não aparecer nenhum assunto ou tarefa que o atraia, sua atenção se desviará para assuntos mais interessantes em 5 minutos.
- Ele ignorará tudo o que está à sua volta, até que alguma coisa chame sua atenção e o traga de volta.
- Uma vez absorto em seus próprios pensamentos, um personagem Distraído precisa conseguir um sucesso em um teste contra IQ-5 para reparar em qualquer evento que não lhe cause dano físico.
- Um personagem distraído pode tentar concentrar sua atenção em um assunto maçante, usando toda sua força de vontade.
- Para consegui-lo, ele precisa de um sucesso em um teste de Vontade com um redutor de -5, a cada 5 minutos.
- Entre os “assuntos enfadonhos” incluem-se turno de guarda, conversa fiada, trabalhos manuais repetitivos, dirigir em uma estrada vazia, etc...
- As pessoas distraídas têm, também, uma tendência a se esquecer de objetos (como as chaves do carro e o talão de cheques) e tarefas triviais (como pagar contas).
- Sempre que a realização de uma destas tarefas tiver alguma relevância, o Mestre poderá exigir um teste contra IQ-2.",Módulo Básico,30
DIS-045,VICIO | -10,VICIO,-10,Mental,"
O personagem é viciado em alguma droga que ele precisa ingerir diariamente ou sofrer as penalidades de Regeneração (veja a seguir). O bônus para esta desvantagem depende do tipo de droga em que se está viciado:
- Se a dose diária custa $20 ou menos: -5 pontos.
- Se a dose diária custa de $21 a $100: -10 pontos.
- Se a dose diária custa mais de $100: -20 pontos.
- Se a droga for alucinógena ou incapacitante: -10 pontos.
- Se a droga for altamente viciadora (-5 em testes de Regeneração): -5 pontos.
- Se a droga for totalmente viciadora (-10 em testes de Regeneração): -10 pontos.

Efeitos das Drogas:
- Uma droga incapacitante deixará quem a usa inconsciente (ou alegre e inutilmente sonolento) por mais ou menos duas horas (quatro horas para personagens com ST menor do que 10, uma hora para aqueles com ST maior do que 15).
- Uma droga estimulante afetará quem a usa pelo mesmo período de tempo: o usuário acredita estar mais inteligente, mas na verdade seu IQ estará temporariamente diminuído de 1 ponto. No entanto, ele recebe +1 de bônus em sua Velocidade.
- Uma droga alucinógena torna seus usuários inúteis para o trabalho ou combate, apesar de eles poderem estar ativos e falantes. Algumas drogas (como o tabaco) não apresentam nenhum destes efeitos, enquanto que outras têm um efeito próprio. Também é possível a existência de efeitos colaterais.
- O Mestre tem toda a liberdade para pesquisar ou inventar efeitos colaterais para drogas reais ou imaginárias.

Regeneração:
- Algumas vezes, um viciado em drogas tenta, voluntariamente ou não, deixar o vício.
- Isto pode acontecer se ele estiver aprisionado, viajar para um lugar onde não existe a droga à disposição ou simplesmente porque ele não é capaz de sustentar o vício financeiramente.
- A Regeneração é um processo doloroso, que exige duas semanas (14 dias) de testes de HT bem sucedidos (o Mestre poderá mudar este tempo, conforme ele achar apropriado, para uma droga específica).
- Todo dia o viciado faz um teste de HT, + ou - Vontade.
- Cada sucesso o aproxima um dia do momento em que ele conseguirá se livrar do vício.
- Uma falha significa que o viciado deve ceder à ânsia (se a droga estiver disponível) e tomar uma dose.
- Se isto acontecer, ele deverá começar todo o processo novamente (se ele ainda estiver disposto a fazê-lo). Se a droga não estiver disponível, o viciado perderá um ponto de vida e poderá tentar continuar o processo de Regeneração, mas aquele dia não deverá ser contado como um dos 14 necessários para sua cura. 
- O HP perdida durante a Regeneração não pode ser recuperada (pelo menos por algum meio “normal”) até que ela seja concluída ou abandonada.
- Lembre-se que você deverá “recomprar” a desvantagem do Vício antes de começar o processo voluntariamente, ou imediatamente após a Regeneração forçada. Veja pág. 82.",Módulo Básico,30
DIS-046,VICIO GRAVE | -15,VICIO GRAVE,-15,Mental,"
O personagem é viciado em alguma droga que ele precisa ingerir diariamente ou sofrer as penalidades de Regeneração (veja a seguir). O bônus para esta desvantagem depende do tipo de droga em que se está viciado:
- Se a dose diária custa $20 ou menos: -5 pontos.
- Se a dose diária custa de $21 a $100: -10 pontos.
- Se a dose diária custa mais de $100: -20 pontos.
- Se a droga for alucinógena ou incapacitante: -10 pontos.
- Se a droga for altamente viciadora (-5 em testes de Regeneração): -5 pontos.
- Se a droga for totalmente viciadora (-10 em testes de Regeneração): -10 pontos.

Efeitos das Drogas:
- Uma droga incapacitante deixará quem a usa inconsciente (ou alegre e inutilmente sonolento) por mais ou menos duas horas (quatro horas para personagens com ST menor do que 10, uma hora para aqueles com ST maior do que 15).
- Uma droga estimulante afetará quem a usa pelo mesmo período de tempo: o usuário acredita estar mais inteligente, mas na verdade seu IQ estará temporariamente diminuído de 1 ponto. No entanto, ele recebe +1 de bônus em sua Velocidade.
- Uma droga alucinógena torna seus usuários inúteis para o trabalho ou combate, apesar de eles poderem estar ativos e falantes. Algumas drogas (como o tabaco) não apresentam nenhum destes efeitos, enquanto que outras têm um efeito próprio. Também é possível a existência de efeitos colaterais.
- O Mestre tem toda a liberdade para pesquisar ou inventar efeitos colaterais para drogas reais ou imaginárias.

Regeneração:
- Algumas vezes, um viciado em drogas tenta, voluntariamente ou não, deixar o vício.
- Isto pode acontecer se ele estiver aprisionado, viajar para um lugar onde não existe a droga à disposição ou simplesmente porque ele não é capaz de sustentar o vício financeiramente.
- A Regeneração é um processo doloroso, que exige duas semanas (14 dias) de testes de HT bem sucedidos (o Mestre poderá mudar este tempo, conforme ele achar apropriado, para uma droga específica).
- Todo dia o viciado faz um teste de HT, + ou - Vontade.
- Cada sucesso o aproxima um dia do momento em que ele conseguirá se livrar do vício.
- Uma falha significa que o viciado deve ceder à ânsia (se a droga estiver disponível) e tomar uma dose.
- Se isto acontecer, ele deverá começar todo o processo novamente (se ele ainda estiver disposto a fazê-lo). Se a droga não estiver disponível, o viciado perderá um ponto de vida e poderá tentar continuar o processo de Regeneração, mas aquele dia não deverá ser contado como um dos 14 necessários para sua cura. 
- O HP perdida durante a Regeneração não pode ser recuperada (pelo menos por algum meio “normal”) até que ela seja concluída ou abandonada.
- Lembre-se que você deverá “recomprar” a desvantagem do Vício antes de começar o processo voluntariamente, ou imediatamente após a Regeneração forçada. Veja pág. 82.",Módulo Básico,30
DIS-047,VICIO LEVE | -5,VICIO LEVE,-5,Mental,"
O personagem é viciado em alguma droga que ele precisa ingerir diariamente ou sofrer as penalidades de Regeneração (veja a seguir). O bônus para esta desvantagem depende do tipo de droga em que se está viciado:
- Se a dose diária custa $20 ou menos: -5 pontos.
- Se a dose diária custa de $21 a $100: -10 pontos.
- Se a dose diária custa mais de $100: -20 pontos.
- Se a droga for alucinógena ou incapacitante: -10 pontos.
- Se a droga for altamente viciadora (-5 em testes de Regeneração): -5 pontos.
- Se a droga for totalmente viciadora (-10 em testes de Regeneração): -10 pontos.

Efeitos das Drogas:
- Uma droga incapacitante deixará quem a usa inconsciente (ou alegre e inutilmente sonolento) por mais ou menos duas horas (quatro horas para personagens com ST menor do que 10, uma hora para aqueles com ST maior do que 15).
- Uma droga estimulante afetará quem a usa pelo mesmo período de tempo: o usuário acredita estar mais inteligente, mas na verdade seu IQ estará temporariamente diminuído de 1 ponto. No entanto, ele recebe +1 de bônus em sua Velocidade.
- Uma droga alucinógena torna seus usuários inúteis para o trabalho ou combate, apesar de eles poderem estar ativos e falantes. Algumas drogas (como o tabaco) não apresentam nenhum destes efeitos, enquanto que outras têm um efeito próprio. Também é possível a existência de efeitos colaterais.
- O Mestre tem toda a liberdade para pesquisar ou inventar efeitos colaterais para drogas reais ou imaginárias.

Regeneração:
- Algumas vezes, um viciado em drogas tenta, voluntariamente ou não, deixar o vício.
- Isto pode acontecer se ele estiver aprisionado, viajar para um lugar onde não existe a droga à disposição ou simplesmente porque ele não é capaz de sustentar o vício financeiramente.
- A Regeneração é um processo doloroso, que exige duas semanas (14 dias) de testes de HT bem sucedidos (o Mestre poderá mudar este tempo, conforme ele achar apropriado, para uma droga específica).
- Todo dia o viciado faz um teste de HT, + ou - Vontade.
- Cada sucesso o aproxima um dia do momento em que ele conseguirá se livrar do vício.
- Uma falha significa que o viciado deve ceder à ânsia (se a droga estiver disponível) e tomar uma dose.
- Se isto acontecer, ele deverá começar todo o processo novamente (se ele ainda estiver disposto a fazê-lo). Se a droga não estiver disponível, o viciado perderá um ponto de vida e poderá tentar continuar o processo de Regeneração, mas aquele dia não deverá ser contado como um dos 14 necessários para sua cura. 
- O HP perdida durante a Regeneração não pode ser recuperada (pelo menos por algum meio “normal”) até que ela seja concluída ou abandonada.
- Lembre-se que você deverá “recomprar” a desvantagem do Vício antes de começar o processo voluntariamente, ou imediatamente após a Regeneração forçada. Veja pág. 82.",Módulo Básico,30
DIS-048,VICIO MUITO GRAVE | -20,VICIO MUITO GRAVE,-20,Mental,"
O personagem é viciado em alguma droga que ele precisa ingerir diariamente ou sofrer as penalidades de Regeneração (veja a seguir). O bônus para esta desvantagem depende do tipo de droga em que se está viciado:
- Se a dose diária custa $20 ou menos: -5 pontos.
- Se a dose diária custa de $21 a $100: -10 pontos.
- Se a dose diária custa mais de $100: -20 pontos.
- Se a droga for alucinógena ou incapacitante: -10 pontos.
- Se a droga for altamente viciadora (-5 em testes de Regeneração): -5 pontos.
- Se a droga for totalmente viciadora (-10 em testes de Regeneração): -10 pontos.

Efeitos das Drogas:
- Uma droga incapacitante deixará quem a usa inconsciente (ou alegre e inutilmente sonolento) por mais ou menos duas horas (quatro horas para personagens com ST menor do que 10, uma hora para aqueles com ST maior do que 15).
- Uma droga estimulante afetará quem a usa pelo mesmo período de tempo: o usuário acredita estar mais inteligente, mas na verdade seu IQ estará temporariamente diminuído de 1 ponto. No entanto, ele recebe +1 de bônus em sua Velocidade.
- Uma droga alucinógena torna seus usuários inúteis para o trabalho ou combate, apesar de eles poderem estar ativos e falantes. Algumas drogas (como o tabaco) não apresentam nenhum destes efeitos, enquanto que outras têm um efeito próprio. Também é possível a existência de efeitos colaterais.
- O Mestre tem toda a liberdade para pesquisar ou inventar efeitos colaterais para drogas reais ou imaginárias.

Regeneração:
- Algumas vezes, um viciado em drogas tenta, voluntariamente ou não, deixar o vício.
- Isto pode acontecer se ele estiver aprisionado, viajar para um lugar onde não existe a droga à disposição ou simplesmente porque ele não é capaz de sustentar o vício financeiramente.
- A Regeneração é um processo doloroso, que exige duas semanas (14 dias) de testes de HT bem sucedidos (o Mestre poderá mudar este tempo, conforme ele achar apropriado, para uma droga específica).
- Todo dia o viciado faz um teste de HT, + ou - Vontade.
- Cada sucesso o aproxima um dia do momento em que ele conseguirá se livrar do vício.
- Uma falha significa que o viciado deve ceder à ânsia (se a droga estiver disponível) e tomar uma dose.
- Se isto acontecer, ele deverá começar todo o processo novamente (se ele ainda estiver disposto a fazê-lo). Se a droga não estiver disponível, o viciado perderá um ponto de vida e poderá tentar continuar o processo de Regeneração, mas aquele dia não deverá ser contado como um dos 14 necessários para sua cura. 
- O HP perdida durante a Regeneração não pode ser recuperada (pelo menos por algum meio “normal”) até que ela seja concluída ou abandonada.
- Lembre-se que você deverá “recomprar” a desvantagem do Vício antes de começar o processo voluntariamente, ou imediatamente após a Regeneração forçada. Veja pág. 82.",Módulo Básico,30
DIS-049,CODIGO DE HONRA LEVE | -5,CODIGO DE HONRA LEVE,-5,Mental,"
- O personagem tem orgulho de um conjunto de princípios que ele segue
todo o tempo.
- Em qualquer cultura existem aqueles que fingem respeitar, mas não têm nenhum, e outros que realmente tentam seguir um código mas não conseguem viver todo o tempo segundo seus princípios. Mas só alguém que realmente siga um código de honra pode receber os pontos relativos a esta desvantagem.
- Um Código de Honra é uma desvantagem porque ele exigirá, com frequência, um comportamento perigoso (se não imprudente).
- Além disso, uma pessoa honrada pode ser forçada a situações desfavoráveis, porque seus inimigos sabem que ela tem honra.
- Não é o mesmo que Dever ou Senso de Dever, que levariam um samurai ou um granadeiro inglês, por exemplo, a se lançarem em batalha contra inimigos terríveis por um questão de obrigação, e não por honra pessoal (embora seja evidente que eles ficariam desonrados, se fugissem).
- Os riscos que uma pessoa enfrenta por sua honra só dizem respeito a ela mesma.",Módulo Básico,31
DIS-050,CODIGO DE HONRA MEDIO | -10,CODIGO DE HONRA MEDIO,-10,Mental,"
- O personagem tem orgulho de um conjunto de princípios que ele segue
todo o tempo.
- Em qualquer cultura existem aqueles que fingem respeitar, mas não têm nenhum, e outros que realmente tentam seguir um código mas não conseguem viver todo o tempo segundo seus princípios. Mas só alguém que realmente siga um código de honra pode receber os pontos relativos a esta desvantagem.
- Um Código de Honra é uma desvantagem porque ele exigirá, com frequência, um comportamento perigoso (se não imprudente).
- Além disso, uma pessoa honrada pode ser forçada a situações desfavoráveis, porque seus inimigos sabem que ela tem honra.
- Não é o mesmo que Dever ou Senso de Dever, que levariam um samurai ou um granadeiro inglês, por exemplo, a se lançarem em batalha contra inimigos terríveis por um questão de obrigação, e não por honra pessoal (embora seja evidente que eles ficariam desonrados, se fugissem).
- Os riscos que uma pessoa enfrenta por sua honra só dizem respeito a ela mesma.",Módulo Básico,31
DIS-051,CODIGO DE HONRA PESADO | -15,CODIGO DE HONRA PESADO,-15,Mental,"
- O personagem tem orgulho de um conjunto de princípios que ele segue
todo o tempo.
- Em qualquer cultura existem aqueles que fingem respeitar, mas não têm nenhum, e outros que realmente tentam seguir um código mas não conseguem viver todo o tempo segundo seus princípios. Mas só alguém que realmente siga um código de honra pode receber os pontos relativos a esta desvantagem.
- Um Código de Honra é uma desvantagem porque ele exigirá, com frequência, um comportamento perigoso (se não imprudente).
- Além disso, uma pessoa honrada pode ser forçada a situações desfavoráveis, porque seus inimigos sabem que ela tem honra.
- Não é o mesmo que Dever ou Senso de Dever, que levariam um samurai ou um granadeiro inglês, por exemplo, a se lançarem em batalha contra inimigos terríveis por um questão de obrigação, e não por honra pessoal (embora seja evidente que eles ficariam desonrados, se fugissem).
- Os riscos que uma pessoa enfrenta por sua honra só dizem respeito a ela mesma.",Módulo Básico,31
DIS-052,FANFARRONICE | -10,FANFARRONICE,-10,Mental,"
- Você gosta de intimidar as pessoas sempre que é possível fazê-lo impunemente.
- Dependendo de sua personalidade e de sua posição, isto pode tomar a forma de agressões físicas, hostilidade intelectual ou “gelo” social.
- Faça um teste de Vontade para tentar evitar uma bravata grosseira quando você sabe que não deveria, mas para representar seu personagem de maneira apropriada você precisa provocar a tantas pessoas, quantas puder.
- Como ninguém gosta de um fanfarrão, seus testes de reação estarão submetidos a um redutor de -2.",Módulo Básico,31
DIS-053,FURIA | -15,FURIA,-15,Mental,"
- Como o Mau Humor, só que pior.
- O personagem tende a perder o controle de si próprio quando submetido a alguma tensão, passando a atacar freneticamente quem ou o que quer que creia ser a causa de seu problema. (Não se pode assumir as duas desvantagens, Fúria e Mau Humor.)
- Sempre que ele for atingido por mais de 3 vezes numa rodada, deverá fazer um teste de Vontade.
- Uma falha significa que ele ficou enfurecido.
- Outras situações de extrema tensão (opção do Mestre) podem, também, requerer este tipo de teste, para evitar o enfurecimento.
- Um personagem com esta desvantagem pode se enfurecer deliberadamente, fazendo uma manobra de “Concentração”, e obtendo sucesso num teste de Vontade.
- Enquanto ele estiver enfurecido, deverá fazer um Ataque Total sempre que um oponente estiver ao alcance, ou então uma manobra de Deslocamento para aproximar-se ao máximo de um oponente, quando não houver nenhum por perto.
- No caso do inimigo estar a mais de 20 m de distância, o “enfurecido” pode atacar com armas de longo alcance, sem gastar tempo para mirar o alvo.
- Fúria Tecnológica: Se um atirador experiente ficar enfurecido, ele vai disparar tantos tiros quantos puder em cada turno, até descarregar sua arma. Ele não irá recarregá-la, a menos que tenha as perícias Sacar Rápido e Rapidez de Recarga, que lhe permitirão fazê-lo “sem pensar”. Quando
sua arma estiver descarregada, ele atacará com as próprias mãos ou com outra arma, e nunca perderá tempo fazendo pontaria.
- Enquanto estiver enfurecido, ele não sofrerá atordoamento e os ferimento não acarretarão penalidades ao seu Deslocamento nem às jogadas de ataque.
- Todo os testes para mantê-lo vivo ou consciente são feitos contra HT+4. Se ele for bem sucedido em todos, permanecerá vivo e atacando desvairadamente até que sua HT fique reduzida a (-5xHT). Então, ele cairá morto!
- Quando um personagem enfurecido derrota seu oponente, ele pode (se o jogador quiser) fazer um teste de Vontade, para sair do estado de Fúria.
- Se ele falhar (ou não fizer a jogada), continuará enfurecido e atacará o próximo oponente.
- Qualquer amigo que tente pará-lo será encarado como um inimigo! 
- O “furioso” faz um teste de Vontade para cada adversário derrotado, e uma jogada extra ao vencer o último oponente. Se falhar, significa que passará a atacar os amigos...
- Ao sair do estado de Fúria, todos os ferimentos sofridos irão afetá-lo imediatamente.
- Faça um teste de HT, para saber se ele continuará vivo e consciente.",Módulo Básico,31
DIS-054,MAU HUMOR | -10,MAU HUMOR,-10,,"
- O personagem não tem um controle total de suas emoções.
- Ele deverá fazer um teste de Vontade em qualquer situação de tensão.
- Uma falha significa que ele perdeu a paciência e deve insultar, atacar ou agir de alguma maneira contra a causa de sua explosão.",Módulo Básico,31
DIS-055,SANGUINOLÊNCIA | -10,SANGUINOLÊNCIA,-10,Mental,"
- O personagem deseja ver seus oponentes mortos.
- Em uma batalha ele preferirá os golpes mortais, dará um tiro a mais para ter certeza de ter matado um oponente vencido, atacará guardas quando isto poderia ser evitado, etc.
- Ele precisará ser bem sucedido em um teste de Vontade para aceitar a rendição de um inimigo ou mesmo fazer um prisioneiro quando isto lhe for ordenado.
-Ele nunca esquecerá que um inimigo é um inimigo, mesmo que não estejam em um combate.
- Esta pode ser uma característica realmente maligna, mas a maioria dos heróis ficcionais sofre dela.
- O personagem não é fanático nem sádico; sua animosidade se limita aos inimigos “legítimos”, sejam eles criminosos, soldados inimigos, membros de uma família tradicionalmente inimiga ou um bêbado em uma taverna.
- Frequentemente, ele tem uma boa razão para se sentir desta maneira e numa briga comum em uma taverna ele usará os punhos como todo mundo. Por outro lado, um gladiador ou duelista com esta desvantagem seria extremamente impopular. Um guarda logo estaria enrascado.",Módulo Básico,31
DIS-056,COMPULSÃO | -10,COMPULSÃO,-10,Mental,"
- Você tem algum hábito (geralmente, mas nem sempre, um vício) que se sente compelido a praticar diariamente.
- Você gasta uma boa parte de seu tempo satisfazendo esta tendência.
- Entre os exemplos de Compulsão incluem-se o jogo, atração por uma outra pessoa, discutir (ou mesmo brigar).
- Em geral, é exigido um teste de Vontade no caso do jogador querer evitar sua compulsão numa determinada situação (ou num dia específico). Note que tentar evitar a compulsão com frequência significa má atuação.
- O valor da desvantagem, em pontos, depende de qual o hábito, o seu custo e em quanta confusão ela colocará o PC.
- O Mestre tem a palavra final.",Módulo Básico,32
DIS-057,COMPULSÃO LEVE | -5,COMPULSÃO LEVE,-5,Mental,"
- Você tem algum hábito (geralmente, mas nem sempre, um vício) que se sente compelido a praticar diariamente.
- Você gasta uma boa parte de seu tempo satisfazendo esta tendência.
- Entre os exemplos de Compulsão incluem-se o jogo, atração por uma outra pessoa, discutir (ou mesmo brigar).
- Em geral, é exigido um teste de Vontade no caso do jogador querer evitar sua compulsão numa determinada situação (ou num dia específico). Note que tentar evitar a compulsão com frequência significa má atuação.
- O valor da desvantagem, em pontos, depende de qual o hábito, o seu custo e em quanta confusão ela colocará o PC.
- O Mestre tem a palavra final.",Módulo Básico,32
DIS-058,COMPULSÃO PESADA | -15,COMPULSÃO PESADA,-15,Mental,"
- Você tem algum hábito (geralmente, mas nem sempre, um vício) que se sente compelido a praticar diariamente.
- Você gasta uma boa parte de seu tempo satisfazendo esta tendência.
- Entre os exemplos de Compulsão incluem-se o jogo, atração por uma outra pessoa, discutir (ou mesmo brigar).
- Em geral, é exigido um teste de Vontade no caso do jogador querer evitar sua compulsão numa determinada situação (ou num dia específico). Note que tentar evitar a compulsão com frequência significa má atuação.
- O valor da desvantagem, em pontos, depende de qual o hábito, o seu custo e em quanta confusão ela colocará o PC.
- O Mestre tem a palavra final.",Módulo Básico,32
DIS-059,COVARDIA | -10,COVARDIA,-10,Mental,"
- O personagem é extremamente cuidadoso com relação ao seu bem estar físico.
- Toda vez que surgir a necessidade de se arriscar fisicamente,ele deverá fazer um teste de Vontade.
- Se houver risco de vida, a jogada será feita com um redutor de -5.
- Se o resultado for um fracasso, ele deverá se recusar a se arriscar, a menos que seja ameaçado com um perigo maior. Testes de reação de soldados, policiais, etc., estarão submetidos a um redutor de -2, a partir do momento em que eles tomarem conhecimento de sua covardia",Módulo Básico,32
DIS-060,FANTASIA | -10,FANTASIA,-10,Mental,"
- O personagem acredita em alguma coisa (ou em várias) que simplesmente não é (são) de verdade.
- Isto pode levar os outros a pensarem que ele é maluco.
- Eles podem ter razão. Se o personagem tiver uma fantasia, o jogador deverá atuar segundo sua crença todo o tempo.
- Este tipo de ilusão afeta significativamente o comportamento do personagem, mas não impede que ele leve uma vida quase normal.
",Módulo Básico,32
DIS-061,FANTASIA GRAVE | -15,FANTASIA GRAVE,-15,Mental,"
- O personagem acredita em alguma coisa (ou em várias) que simplesmente não é (são) de verdade.
- Isto pode levar os outros a pensarem que ele é maluco.
- Eles podem ter razão. Se o personagem tiver uma fantasia, o jogador deverá atuar segundo sua crença todo o tempo.
- Esta ilusão afeta tão intensamente o comportamento do personagem, que pode chegar a impedir que ele viva no mundo cotidiano.
",Módulo Básico,32
DIS-062,FANTASIA LEVE | -5,FANTASIA LEVE,-5,Mental,"
- O personagem acredita em alguma coisa (ou em várias) que simplesmente não é (são) de verdade.
- Isto pode levar os outros a pensarem que ele é maluco.
- Eles podem ter razão. Se o personagem tiver uma fantasia, o jogador deverá atuar segundo sua crença todo o tempo.
- Este tipo de ilusão afeta o comportamento do personagem e existe chance dela ser percebida rapidamente por qualquer um, apesar de ela não impedir que ele aja com certa normalidade.
",Módulo Básico,32
DIS-063,INVEJA | -10,INVEJA,-10,Mental,"
- O personagem terá, automaticamente, uma reação ruim frente a qualquer um que pareça mais inteligente, mais atraente ou em melhor situação do que ele.
-Pode também se opor a qualquer plano proposto por um “rival”, e odiará se alguma outra pessoa estiver em evidência. (Esta desvantagem combina bem com Megalomania).
- Se um NPC for invejoso, o Mestre deverá subtrair de 2 a 4 pontos de suas reações junto às vítimas de sua inveja.",Módulo Básico,32
DIS-064,MENTIR COMPULSIVAMENTE | -15,MENTIR COMPULSIVAMENTE,-15,Mental,"- O personagem mente constantemente, por nenhuma outra razão que não seja a alegria de mentir.
- Um mentiroso compulsivo se delicia inventando histórias sobre suas façanhas, linhagem, riqueza — qualquer coisa que possa impressionar sua audiência.
- Mesmo quando desmascarado, ele se apega tenazmente a suas histórias, chamando seu denunciador de mentiroso e salafrário.
-Para ser capaz de dizer a verdade pura e simples, um mentiroso compulsivo precisa conseguir um sucesso em um teste contra Vontade-4.
- Um Mestre caridoso poderia deixar um mentiroso contar uma versão ligeiramente distorcida da verdade, se ele falhar por pouco em sua jogada.
- Quando um PC mentiroso faz uma jogada para dizer a verdade para os membros de seu grupo, ele deverá fazê-la de modo que os jogadores não vejam o resultado.
- Desta maneira eles nunca terão certeza se estão recebendo uma informação acurada de seu companheiro.",Módulo Básico,32
DIS-065,PARALISIA FRENTE A COMBATE | -15,PARALISIA FRENTE A COMBATE,-15,Mental,"
- Este é a situação oposta a Reflexos em Combate; o personagem tende a ficar paralisado quando se vê em um combate.
- Não é Covardia, você não deve representar medo. Pelo contrário, deve ser corajoso, mas é atraiçoado pelo corpo.
-Em qualquer situação onde uma lesão física parecer iminente, o personagem deverá fazer um teste de HT (não IQ).
- Qualquer resultado maior do que 13 é um fracasso, mesmo que o personagem tenha uma HT alta.
- A jogada não deve ser feita até o momento em que ele tem que lutar, correr, puxar o gatilho e assim por diante.
- Um sucesso significa que ele pode agir normalmente.
- Uma falha significa que ele está mentalmente atordoado (v. pág 122). O personagem deve fazer um teste de sua HT efetiva, com um bônus cumulativo igual a +1 em cada turno, a fim de sair do torpor.
- Um tapa de um companheiro adicionará 1 ponto ao valor acumulado de sua HT.
- Depois de sair do estado de torpor, ele não acontecerá de novo enquanto durar o perigo.
- Mais tarde, ao se deparar com uma nova situação de perigo, ele poderá se repetir.",Módulo Básico,32
DIS-066,ANALFABETISMO | -10,ANALFABETISMO,-10,Mental,"
- Esta é a condição normal em uma cultura de baixo NT e neste caso não oferece nenhum bônus.
- Em culturas com NT 5+, onde a imprensa é comum, ela será uma desvantagem. Veja pág. 17.",Módulo Básico,33
